query,p@1,r@1,p@2,r@2,p@3,r@3,p@4,r@4,p@5,r@5,p@6,r@6,p@7,r@7,p@8,r@8,p@9,r@9,p@10,r@10,rr
how do i use sliding window?,1.0,0.2,1.0,0.4,1.0,0.6,1.0,0.8,1.0,1.0,0.8333333333333334,1.0,0.7142857142857143,1.0,0.625,1.0,0.5555555555555556,1.0,0.5,1.0,1.0
what's the difference between BFS and DFS in graph?,1.0,0.125,0.5,0.125,0.6666666666666666,0.25,0.75,0.375,0.8,0.5,0.8333333333333334,0.625,0.7142857142857143,0.625,0.625,0.625,0.6666666666666666,0.75,0.7,0.875,1.0
how's bfs in graph is different from bfs in trees?,0.0,0.0,0.5,0.25,0.3333333333333333,0.25,0.5,0.5,0.4,0.5,0.3333333333333333,0.5,0.2857142857142857,0.5,0.25,0.5,0.2222222222222222,0.5,0.3,0.75,0.5
how do i reverse a linked list?,1.0,0.16666666666666666,1.0,0.3333333333333333,1.0,0.5,0.75,0.5,0.6,0.5,0.6666666666666666,0.6666666666666666,0.5714285714285714,0.6666666666666666,0.5,0.6666666666666666,0.4444444444444444,0.6666666666666666,0.4,0.6666666666666666,1.0
what is dynamic programming?,0.0,0.0,0.5,0.05555555555555555,0.3333333333333333,0.05555555555555555,0.5,0.1111111111111111,0.4,0.1111111111111111,0.5,0.16666666666666666,0.5714285714285714,0.2222222222222222,0.625,0.2777777777777778,0.6666666666666666,0.3333333333333333,0.6,0.3333333333333333,0.5
when should I use binary search on answer?,1.0,0.3333333333333333,1.0,0.6666666666666666,1.0,1.0,0.75,1.0,0.6,1.0,0.5,1.0,0.42857142857142855,1.0,0.375,1.0,0.3333333333333333,1.0,0.3,1.0,1.0
how to detect a cycle in a linked list,1.0,0.5,1.0,1.0,0.6666666666666666,1.0,0.5,1.0,0.4,1.0,0.3333333333333333,1.0,0.2857142857142857,1.0,0.25,1.0,0.2222222222222222,1.0,0.2,1.0,1.0
how to find a loop in a graph,1.0,0.3333333333333333,1.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.5,0.6666666666666666,0.4,0.6666666666666666,0.3333333333333333,0.6666666666666666,0.2857142857142857,0.6666666666666666,0.25,0.6666666666666666,0.2222222222222222,0.6666666666666666,0.2,0.6666666666666666,1.0
compare bubble sort and merge sort,1.0,0.3333333333333333,1.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.5,0.6666666666666666,0.4,0.6666666666666666,0.3333333333333333,0.6666666666666666,0.2857142857142857,0.6666666666666666,0.25,0.6666666666666666,0.2222222222222222,0.6666666666666666,0.2,0.6666666666666666,1.0
what are some medium difficulty two pointer problems?,1.0,0.14285714285714285,1.0,0.2857142857142857,0.6666666666666666,0.2857142857142857,0.5,0.2857142857142857,0.4,0.2857142857142857,0.3333333333333333,0.2857142857142857,0.2857142857142857,0.2857142857142857,0.25,0.2857142857142857,0.2222222222222222,0.2857142857142857,0.2,0.2857142857142857,1.0
how to find the shortest path in a weighted graph with negative edges,0.0,0.0,0.5,0.5,0.6666666666666666,1.0,0.5,1.0,0.4,1.0,0.3333333333333333,1.0,0.2857142857142857,1.0,0.25,1.0,0.2222222222222222,1.0,0.2,1.0,0.5
give me some examples of backtracking problems,1.0,0.1111111111111111,1.0,0.2222222222222222,1.0,0.3333333333333333,1.0,0.4444444444444444,1.0,0.5555555555555556,1.0,0.6666666666666666,1.0,0.7777777777777778,1.0,0.8888888888888888,0.8888888888888888,0.8888888888888888,0.9,1.0,1.0
how can I use a stack to solve a string problem?,1.0,0.2,1.0,0.4,1.0,0.6,1.0,0.8,1.0,1.0,0.8333333333333334,1.0,0.7142857142857143,1.0,0.625,1.0,0.5555555555555556,1.0,0.5,1.0,1.0
what is a monotonic stack and what is it used for?,1.0,0.2,1.0,0.4,0.6666666666666666,0.4,0.75,0.6,0.6,0.6,0.5,0.6,0.5714285714285714,0.8,0.5,0.8,0.4444444444444444,0.8,0.4,0.8,1.0
how to solve the dutch national flag problem,1.0,0.5,1.0,1.0,0.6666666666666666,1.0,0.5,1.0,0.4,1.0,0.3333333333333333,1.0,0.2857142857142857,1.0,0.25,1.0,0.2222222222222222,1.0,0.2,1.0,1.0
what's the difference between a min-heap and a max-heap?,1.0,0.14285714285714285,1.0,0.2857142857142857,1.0,0.42857142857142855,1.0,0.5714285714285714,0.8,0.5714285714285714,0.6666666666666666,0.5714285714285714,0.7142857142857143,0.7142857142857143,0.625,0.7142857142857143,0.5555555555555556,0.7142857142857143,0.5,0.7142857142857143,1.0
I need help with some easy bit manipulation questions,1.0,0.2,1.0,0.4,1.0,0.6,1.0,0.8,1.0,1.0,0.8333333333333334,1.0,0.7142857142857143,1.0,0.625,1.0,0.5555555555555556,1.0,0.5,1.0,1.0
Explain recursion like I'm a beginner,1.0,0.07692307692307693,1.0,0.15384615384615385,0.6666666666666666,0.15384615384615385,0.75,0.23076923076923078,0.8,0.3076923076923077,0.8333333333333334,0.38461538461538464,0.8571428571428571,0.46153846153846156,0.875,0.5384615384615384,0.7777777777777778,0.5384615384615384,0.7,0.5384615384615384,1.0
when should I use a greedy algorithm?,1.0,0.0625,1.0,0.125,1.0,0.1875,0.75,0.1875,0.8,0.25,0.8333333333333334,0.3125,0.8571428571428571,0.375,0.875,0.4375,0.8888888888888888,0.5,0.9,0.5625,1.0
what are the different ways to traverse a binary tree?,1.0,0.08333333333333333,1.0,0.16666666666666666,0.6666666666666666,0.16666666666666666,0.5,0.16666666666666666,0.6,0.25,0.5,0.25,0.42857142857142855,0.25,0.375,0.25,0.4444444444444444,0.3333333333333333,0.5,0.4166666666666667,1.0
what is the knapsack problem?,1.0,0.2,1.0,0.4,1.0,0.6,1.0,0.8,0.8,0.8,0.8333333333333334,1.0,0.7142857142857143,1.0,0.625,1.0,0.5555555555555556,1.0,0.5,1.0,1.0
how do i check if a binary tree is a valid bst?,1.0,0.5,1.0,1.0,0.6666666666666666,1.0,0.5,1.0,0.4,1.0,0.3333333333333333,1.0,0.2857142857142857,1.0,0.25,1.0,0.2222222222222222,1.0,0.2,1.0,1.0
explain longest common subsequence,1.0,0.5,1.0,1.0,0.6666666666666666,1.0,0.5,1.0,0.4,1.0,0.3333333333333333,1.0,0.2857142857142857,1.0,0.25,1.0,0.2222222222222222,1.0,0.2,1.0,1.0
what is a trie used for?,1.0,0.25,1.0,0.5,1.0,0.75,1.0,1.0,0.8,1.0,0.6666666666666666,1.0,0.5714285714285714,1.0,0.5,1.0,0.4444444444444444,1.0,0.4,1.0,1.0
